# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
2.2092144e-05  	-2.41988003e-03	3.38685589e-06
2.2092346e-05  	-2.41991338e-03	3.38690124e-06
2.2092548e-05  	-2.41994679e-03	3.38694668e-06
2.209275e-05   	-2.41998027e-03	3.38699221e-06
2.2092953e-05  	-2.42001383e-03	3.38703783e-06
2.2093155e-05  	-2.42004744e-03	3.38708352e-06
2.2093357e-05  	-2.42008110e-03	3.38712928e-06
2.2093559e-05  	-2.42011480e-03	3.38717509e-06
2.2093761e-05  	-2.42014857e-03	3.38722095e-06
2.2093964e-05  	-2.42018238e-03	3.38726686e-06
2.2094166e-05  	-2.42021624e-03	3.38731282e-06
2.2094368e-05  	-2.42025017e-03	3.38735882e-06
2.209457e-05   	-2.42028416e-03	3.38740485e-06
2.2094772e-05  	-2.42031821e-03	3.38745094e-06
